"","seqnames","start","end","width","strand","Conc","Conc_MSH2","Conc_KO","Fold","p.value","FDR"
"1","21",45874987,45875487,501,"*",7.22107384560213,8.17160846982065,3.33020829830522,4.55968428436719,1.35613862432024e-60,2.3184274693654e-55
"2","5",169161072,169161572,501,"*",7.23484610066143,8.17858194792226,3.52639892699086,4.39574376276463,6.02171556274913e-60,3.58669933712247e-55
"3","18",71036695,71037195,501,"*",7.33677375370384,8.25649110212257,4.12928427499775,4.00015630373771,6.29400087235895e-60,3.58669933712247e-55
"4","6",1348596,1349096,501,"*",7.5908919707124,4.87358575943596,8.47681143396256,-3.54225953702391,2.97831853798657e-58,1.27291845154277e-53
"5","2",14255058,14255558,501,"*",7.93537313358265,8.7985635339014,5.46898385477795,3.23115638364284,9.44735483527791e-57,3.01870507080424e-52
"6","5",169164335,169164835,501,"*",7.5502353377917,8.39732406490809,5.23645523342617,3.11838305153218,1.05945497869801e-56,3.01870507080424e-52
"7","2",106990252,106990752,501,"*",7.12315938705677,8.04784912389721,3.8258919787183,4.05132694594002,1.3279522082292e-54,3.24320076592069e-50
"8","10",75530228,75530728,501,"*",7.88143111405527,8.69764614540428,5.81783832230678,2.85793233564409,3.10854358081484e-53,6.64287991861178e-49
"9","3",133038002,133038502,501,"*",7.52655461592035,8.36488043218961,5.28886721436966,2.98740156185029,6.21947811477259e-53,1.18141059949477e-48
"10","8",137813148,137813648,501,"*",7.14616170963155,8.01522274633559,4.61938735513558,3.34547142478317,7.96836314467985e-53,1.36225542648818e-48
"11","3",66997784,66998284,501,"*",8.41190371066574,9.18138983549402,6.65234021789404,2.48511133147315,1.68226300355187e-52,2.61451198692019e-48
"12","3",117548164,117548664,501,"*",7.16969750796182,8.02504534444479,4.77986912510924,3.19769658653972,2.43556884347093e-49,3.46983315285086e-45
"13","1",57124737,57125237,501,"*",7.45589468973537,8.32507807538384,4.92783190511898,3.31236204649294,3.04025368921953e-49,3.9981206938584e-45
"14","10",338404,338904,501,"*",7.22602683167226,8.07517689770897,4.89367861237735,3.13632334504133,3.90752077609476e-47,4.77158526314005e-43
"15","10",65229707,65230207,501,"*",7.18712331712626,8.06094077068995,4.60930976378094,3.34296397950847,7.08720776981343e-47,8.07743243941176e-43
"16","19",23554484,23554984,501,"*",7.09712508224171,7.96151800378302,4.61859062597254,3.2637078405016,1.96084359145356e-44,2.09513686692324e-40
"17","6",139402952,139403452,501,"*",6.92867339919533,3.96851288936586,7.832868500602,-3.71186805346927,1.43574886541666e-43,1.44383973255236e-39
"18","10",75547256,75547756,501,"*",7.10672074544212,7.93668017456061,4.93771996638097,2.97849869301324,3.25756536680739e-43,3.09392699988144e-39
"19","3",5972560,5973060,501,"*",6.74752762663653,7.66347469547619,3.60438076588312,4.02988289019446,4.28198684792147e-43,3.8528416186682e-39
"20","1",182217936,182218436,501,"*",7.34898416773829,8.12371976866358,5.55874207552004,2.53612294802562,9.52482569484921e-42,8.14172575570016e-38
"21","11",30635320,30635820,501,"*",6.83584015977143,7.73876241903105,3.89409142823315,3.68378912711014,1.52692861682622e-41,1.24305077369227e-37
"22","7",57404464,57404964,501,"*",6.67738482032134,7.61101398757064,3.20225343864569,4.1965802473269,1.34156325997544e-40,1.04250441726764e-36
"23","10",111269217,111269717,501,"*",7.29571211666089,8.12538629244024,5.12898969477622,2.97114927056606,3.28580782806406e-40,2.44232667247902e-36
"24","11",124085575,124086075,501,"*",7.03350067161545,7.8617848608188,4.87782267831114,2.90963813189149,7.84560934715045e-40,5.58862367820894e-36
"25","8",72823964,72824464,501,"*",6.88214439564815,7.73207182664205,4.54272433730781,3.09390418440095,2.15362049434668e-37,1.47271460989008e-33
"26","16",77456932,77457432,501,"*",6.62522488908108,7.48703398421206,4.17264912859877,3.2653269763054,6.26437156295254e-37,4.11901705253554e-33
"27","18",52337283,52337783,501,"*",6.66729401472758,7.50267018462473,4.45424344268656,2.93899949602989,9.31764015006772e-36,5.89972268435288e-32
"28","11",124276055,124276555,501,"*",6.78136839066472,7.63292838326711,4.42697022050714,3.19237790928536,1.11815411411122e-35,6.82704968000809e-32
"29","3",118110127,118110627,501,"*",6.95031898986399,7.75819709601785,4.94665137911603,2.7122492319185,8.43925433440836e-35,4.95872159036358e-31
"30","X",31221211,31221711,501,"*",6.66878634461798,7.49356788448686,4.54052401009706,2.93172110474425,8.70164880911729e-35,4.95872159036358e-31
"31","10",64505377,64505877,501,"*",6.41200764976988,7.31302617069666,3.49733589494914,3.73087150623347,1.2061334574388e-34,6.6310232209121e-31
"32","1",182259309,182259809,501,"*",6.43557784520279,7.33041752554959,3.60521302337629,3.45688661792051,1.24119808999396e-34,6.6310232209121e-31
"33","2",107091140,107091640,501,"*",7.03972751572513,7.84199038381228,5.07487736858766,2.69933935863583,1.69865482547018e-34,8.79995853493125e-31
"34","17",49201566,49202066,501,"*",6.82268092546042,4.55831673827187,7.66413772566222,-3.00291360813452,3.50093385566317e-34,1.76033132381313e-30
"35","18",8341625,8342125,501,"*",6.93549159830798,7.71706233924231,5.10412631666572,2.59362641029303,2.27722442486039e-33,1.11231352350081e-29
"36","15",54304236,54304736,501,"*",6.24769483659097,7.1730682352835,2.93760979587909,4.04740061484554,3.4518674950987e-33,1.63923434229745e-29
"37","19",23526228,23526728,501,"*",6.71770141980613,7.53193096180261,4.6686393888752,2.77362367970556,5.55964187320009e-33,2.53923007943494e-29
"38","X",52368610,52369110,501,"*",6.41537760827503,7.29549582003128,3.76676980118139,3.42971785081688,5.6441197848903e-33,2.53923007943494e-29
"39","3",117735293,117735793,501,"*",6.66124581951131,7.45831684143854,4.73125089190316,2.65846802488787,8.74055204155702e-33,3.83145460492437e-29
"40","3",89107362,89107862,501,"*",7.62289061698505,8.38884947921325,5.88351934167821,2.45430526159505,1.04168161140811e-32,4.45209512307771e-29
"41","3",117853768,117854268,501,"*",7.48026616147714,8.20821892889677,5.93954208075212,2.25840807535256,1.99447945564501e-32,8.31639557995512e-29
"42","10",108596962,108597462,501,"*",6.76553853725832,7.57250437025719,4.76825922642438,2.75223539782998,4.14213698458435e-32,1.68602727288231e-28
"43","5",16140922,16141422,501,"*",6.92467868794442,7.73880479530665,4.87636910035875,2.74851142340422,6.7699123044187e-32,2.69155969241584e-28
"44","3",117625873,117626373,501,"*",6.14806893266384,7.08265657996779,2.65242687236985,4.12484504856122,1.00537951096854e-31,3.9063106917309e-28
